Status,Date,Deal Type,Address,Beds,Baths,Sqft
Canceled,04/22/2025,Foreclosure Auction,"16920 Nw 36th Ave,Miami Gardens, FL 33056",3,5,1734
"Sold for $ 250,500",04/22/2025,N/A,"2251 Nw 88th St,Miami, FL 33147",7,3,2120
Canceled,04/21/2025,Foreclosure Auction,"9791 Nw 27th St,Doral, FL 33172",3,2,1776
Canceled,04/21/2025,Foreclosure Auction,"7125 W Lago Dr,Coral Gables, FL 33143",6,5,7467
Canceled,04/21/2025,Foreclosure Auction,"74 Ne 205th Ter,Miami, FL 33179",3,2,1364
Canceled,04/21/2025,Foreclosure Auction,"1541 Brickell Ave Apt C1207,Miami, FL 33129",1,5,1117
"Sold for $ 92,400",04/21/2025,N/A,"18659 Sw 107th Ave # 18659,Cutler Bay, FL 33157",N/A,N/A,1608
Canceled,04/21/2025,Foreclosure Auction,"1753 Michigan Ave,Miami Beach, FL 33139",N/A,N/A,4056
Canceled,04/21/2025,Foreclosure Auction,"1750 Jefferson Ave,Miami Beach, FL 33139",3,2,4374
"Sold for $ 190,400",04/21/2025,N/A,"1555 W 44th Pl Apt 103,Hialeah, FL 33012",2,2,903
"Sold for $ 261,400",04/21/2025,N/A,"6547 Sw 116th Pl Apt D,Miami, FL 33173",2,2,1340
Canceled,04/21/2025,Foreclosure Auction,"170 Se 14th St Apt 1807,Miami, FL 33131",1,1,630
Canceled,04/21/2025,Foreclosure Auction,"20401 Nw 22nd Ave,Miami Gardens, FL 33056",3,2,1860
Canceled,04/21/2025,Foreclosure Auction,"9705 Collins Ave Unit 2001n,Bal Harbour, FL 33154",3,5,3524
Canceled,04/21/2025,Foreclosure Auction,"1541 Brickell Ave Apt C1207,Miami, FL 33129",1,5,1117
Canceled,04/21/2025,Foreclosure Auction,"88 Sw 7th St Apt 3405,Miami, FL 33130",2,2,1206
"Sold for $ 37,300",04/21/2025,N/A,"1750 Ne 191st St Apt 829,Miami, FL 33179",2,2,1633
Canceled,04/21/2025,Foreclosure Auction,"1113 Nw 79th St,Miami, FL 33150",N/A,N/A,2769
Canceled,04/21/2025,Foreclosure Auction,"35650 Sw 188th Ave,Homestead, FL 33034",2,1,693
Canceled,04/21/2025,Foreclosure Auction,"20380 Nw 7th Ave Apt 207,Miami, FL 33169",2,2,980
"Sold for $ 195,400",04/21/2025,N/A,"3410 Coral Way Apt 904,Miami, FL 33145",1,1,486
"Sold for $ 1,326,000",04/21/2025,N/A,"16445 Sw 89th Ave,Palmetto Bay, FL 33157",4,5,5932
Canceled,04/21/2025,Foreclosure Auction,"716 Michigan Ave Apt 403,Miami Beach, FL 33139",1,1,750
Canceled,04/21/2025,Foreclosure Auction,"3301 N Country Club Dr Apt 804,Miami, FL 33180",1,5,741
Canceled,04/21/2025,Foreclosure Auction,"1376 Nw 35th St,Miami, FL 33142",8,5,3386
"Sold for $ 1,030,100",04/21/2025,N/A,"2070 Ali Baba Ave,Opa-locka, FL 33054",14,8,5606
Canceled,04/21/2025,Foreclosure Auction,"830 Ne 180th St,Miami, FL 33162",3,2,1534
Sold for $ 100,04/21/2025,N/A,"1781 Nw 129th Ter,Miami, FL 33167",3,1,1909
Canceled,04/21/2025,Foreclosure Auction,"88 Sw 7th St Apt 3403,Miami, FL 33130",2,2,1296
Canceled,04/21/2025,Foreclosure Auction,"19232 Nw 47th Pl,Miami Gardens, FL 33055",4,2,1828
Canceled,04/21/2025,Foreclosure Auction,"1141 Nw 116th Ter,Miami, FL 33168",2,1,901
"Sold for $ 337,500",04/21/2025,N/A,"11804 Sw 11th St # A,Miami, FL 33184",3,2,1171
Canceled,04/21/2025,Foreclosure Auction,"1715 Sw 84th Ave,Miami, FL 33155",4,2,1415
Canceled,04/21/2025,Foreclosure Auction,"250 174th St Apt 317,Sunny Isles Beach, FL 33160",2,2,1544
Canceled,04/21/2025,Foreclosure Auction,"770 Claughton Island Dr Apt 907,Miami, FL 33131",1,1,671
Canceled,04/21/2025,Foreclosure Auction,"15920 Nw 40th Ct,Opa-locka, FL 33054",3,1,900
Canceled,04/21/2025,Foreclosure Auction,"18125 Sw 154th Pl,Miami, FL 33187",4,2,1775
Canceled,04/21/2025,Foreclosure Auction,"21130 Sw 87th Ave Apt 203,Cutler Bay, FL 33189",2,2,991
Canceled,04/21/2025,Foreclosure Auction,"17201 Collins Ave Apt 3102,Sunny Isles Beach, FL 33160",2,2,1396
"Sold for $ 686,900",04/21/2025,N/A,"2920 Sw 37th Ct,Miami, FL 33134",5,3,2369
"Sold for $ 165,400",04/21/2025,N/A,"220 Nw 107th Ave Apt 106,Miami, FL 33172",1,1,580
"Sold for $ 182,800",04/21/2025,N/A,"515 Sw 3rd St Apt 12,Miami, FL 33130",2,1,720
Canceled,04/21/2025,Foreclosure Auction,"3604 Sw 26th Ter,Miami, FL 33133",5,2,2192
Canceled,04/21/2025,Foreclosure Auction,"720 Ne 155th St,Miami, FL 33162",3,3,2031
Canceled,04/17/2025,Tax Deed Auction,"135 San Lorenzo Ave # 3,Coral Gables, FL 33146",N/A,N/A,8
"Sold for $ 1,629",04/17/2025,N/A,"40 Sw 13th St # 1002mz,Miami, FL 33130",N/A,N/A,16
"Sold for $ 1,524",04/17/2025,N/A,"40 Sw 13th St # 1003mz,Miami, FL 33130",N/A,N/A,16
"Sold for $ 1,529",04/17/2025,N/A,"40 Sw 13th St # 1003mz,Miami, FL 33130",N/A,N/A,16
"Sold for $ 1,600",04/17/2025,N/A,"40 Sw 13th St # 1003mz,Miami, FL 33130",N/A,N/A,16
"Sold for $ 1,600",04/17/2025,N/A,"40 Sw 13th St # 1003mz,Miami, FL 33130",N/A,N/A,16
"Sold for $ 1,530",04/17/2025,N/A,"40 Sw 13th St # 1003mz,Miami, FL 33130",N/A,N/A,16
Canceled,04/17/2025,Tax Deed Auction,"3675 N Country Club Dr Apt 2309,Miami, FL 33180",2,2,1143
Canceled,04/17/2025,Tax Deed Auction,"40 Sw 13th St Ste 1001,Miami, FL 33130",N/A,N/A,16
Canceled,04/17/2025,Tax Deed Auction,"40 Sw 13th St Ste 1001,Miami, FL 33130",N/A,N/A,16
"Sold for $ 1,524",04/17/2025,N/A,"40 Sw 13th St # 1003mz,Miami, FL 33130",N/A,N/A,16
Canceled,04/17/2025,Tax Deed Auction,"40 Sw 13th St Ste 1001,Miami, FL 33130",N/A,N/A,28
Canceled,04/17/2025,Tax Deed Auction,"40 Sw 13th St Ste 1001,Miami, FL 33130",N/A,N/A,16
"Sold for $ 2,100",04/17/2025,N/A,"40 Sw 13th St # 1003mz,Miami, FL 33130",N/A,N/A,16
"Sold for $ 1,600",04/17/2025,N/A,"40 Sw 13th St # 1003mz,Miami, FL 33130",N/A,N/A,16
"Sold for $ 1,648",04/17/2025,N/A,"40 Sw 13th St Ste 801,Miami, FL 33130",N/A,N/A,16
"Sold for $ 1,530",04/17/2025,N/A,"40 Sw 13th St Ste 901,Miami, FL 33130",N/A,N/A,16
Canceled,04/17/2025,Tax Deed Auction,"40 Sw 13th St Ste 1001,Miami, FL 33130",N/A,N/A,16
"Sold for $ 1,522",04/17/2025,N/A,"40 Sw 13th St # 1002mz,Miami, FL 33130",N/A,N/A,16
Canceled,04/17/2025,Tax Deed Auction,"100 Edgewater Dr Apt 142,Coral Gables, FL 33133",2,2,1150
Canceled,04/17/2025,Tax Deed Auction,"9111 Nw 22nd Ave,Miami, FL 33147",N/A,3,2320
"Sold for $ 1,524",04/17/2025,N/A,"40 Sw 13th St # 1003mz,Miami, FL 33130",N/A,N/A,16
"Sold for $ 7,800",04/17/2025,N/A,"Land 3035200001440,Miami, FL 33178",N/A,N/A,N/A
"Sold for $ 6,800",04/17/2025,N/A,"Land 3035200001430,Miami, FL 33178",N/A,N/A,N/A
Canceled,04/17/2025,Tax Deed Auction,"780 Ne 69th St Apt 1810,Miami, FL 33138",2,2,1316
"Sold for $ 1,700",04/17/2025,N/A,"40 Sw 13th St # 1002mz,Miami, FL 33130",N/A,N/A,16
"Sold for $ 1,626",04/17/2025,N/A,"40 Sw 13th St # 1003mz,Miami, FL 33130",N/A,N/A,16
"Sold for $ 239,100",04/17/2025,N/A,"11861 Sw 185th Ter,Miami, FL 33177",3,1,994
Canceled,04/17/2025,Tax Deed Auction,"11065 Sw 152nd Ct,Miami, FL 33196",2,2,1163
Canceled,04/17/2025,Tax Deed Auction,"740 Ne 152nd St,Miami, FL 33162",4,2,1867
Canceled,04/17/2025,Tax Deed Auction,"7825 Camino Real # J-106,Miami, FL 33143",1,1,712
Canceled,04/17/2025,Tax Deed Auction,"3300 Nw 102nd St,Miami, FL 33147",1,1,870
Canceled,04/17/2025,Tax Deed Auction,"12251 Sw 128th Ct Ste 107a,Miami, FL 33186",N/A,N/A,1608
Canceled,04/17/2025,Tax Deed Auction,"40 Sw 13th St # S1001,Miami, FL 33130",N/A,N/A,36
Canceled,04/17/2025,Tax Deed Auction,"1600 Nw 44th St,Miami, FL 33142",2,1,635
Canceled,04/17/2025,Tax Deed Auction,"40 Sw 13th St Ste 1001,Miami, FL 33130",N/A,N/A,16
"Sold for $ 1,900",04/17/2025,N/A,"40 Sw 13th St # 1001mz,Miami, FL 33130",N/A,N/A,16
Canceled,04/17/2025,Tax Deed Auction,"40 Sw 13th St Ste 1001,Miami, FL 33130",N/A,N/A,16
"Sold for $ 1,625",04/17/2025,N/A,"40 Sw 13th St # 1003mz,Miami, FL 33130",N/A,N/A,16
Canceled,04/17/2025,Tax Deed Auction,"40 Sw 13th St Ste 1001,Miami, FL 33130",N/A,N/A,16
Canceled,04/17/2025,Tax Deed Auction,"675 Nw 5th St,Miami, FL 33128",N/A,2,7000
"Sold for $ 1,635",04/17/2025,N/A,"40 Sw 13th St # 1003mz,Miami, FL 33130",N/A,N/A,16
Canceled,04/17/2025,Tax Deed Auction,"40 Sw 13th St Ste 1001,Miami, FL 33130",N/A,N/A,16
Canceled,04/17/2025,Tax Deed Auction,"6345 Collins Ave,Miami Beach, FL 33141",N/A,1,330
"Sold for $ 20,100",04/17/2025,N/A,"Land 3049170043571,Miami, FL 33185",N/A,N/A,N/A
Canceled,04/17/2025,Tax Deed Auction,"Land 3058200004230,Miami, FL 33196",N/A,N/A,N/A
Canceled,04/17/2025,Tax Deed Auction,"8060 Nw 103rd St,Hialeah, FL 33016",N/A,N/A,N/A
Canceled,04/16/2025,Foreclosure Auction,"5055 Nw 7th St Apt 801,Miami, FL 33126",2,2,1037
Canceled,04/16/2025,Foreclosure Auction,"7901 Sw 64th Ave Apt 7,South Miami, FL 33143",1,1,432
Canceled,04/15/2025,Foreclosure Auction,"7043 Fisher Island Dr # 7043,Miami Beach, FL 33109",7,5,9514
Canceled,04/15/2025,Foreclosure Auction,"11867 Sw 204th St,Miami, FL 33177",4,2,1360
Canceled,04/15/2025,Foreclosure Auction,"17025 Nw 38th Ct,Miami Gardens, FL 33055",4,2,1200
"Sold for $ 210,500",04/15/2025,N/A,"8475 Sw 94th St Apt 116e,Miami, FL 33156",2,1,866
Canceled,04/15/2025,Foreclosure Auction,"12418 Sw 230th St,Miami, FL 33170",4,3,1827
Canceled,04/15/2025,Foreclosure Auction,"5219 Sw 152nd Ct,Miami, FL 33185",3,2,2069
Canceled,04/15/2025,Foreclosure Auction,"19104 Sw 133rd Ct,Miami, FL 33177",3,5,2137
"Sold for $ 670,600",04/15/2025,N/A,"16961 Sw 213th Ln,Miami, FL 33187",4,3,2192
"Sold for $ 235,100",04/15/2025,N/A,"460 E 23rd St Apt 118,Hialeah, FL 33013",3,2,1177
Canceled,04/14/2025,Foreclosure Auction,"20881 Ne 2nd Pl,Miami, FL 33179",3,5,1478
Canceled,04/14/2025,Foreclosure Auction,"20841 Ne 2nd Pl,Miami, FL 33179",3,5,1704
Canceled,04/14/2025,Foreclosure Auction,"20865 Ne 2nd Pl,Miami, FL 33179",3,5,1478
"Sold for $ 68,600",04/14/2025,N/A,"14830 Naranja Lakes Blvd # A2m,Homestead, FL 33032",2,5,1075
"Sold for $ 275,700",04/14/2025,N/A,"3553 Magellan Cir Apt 317,Miami, FL 33180",3,2,1143
"Sold for $ 680,100",04/14/2025,N/A,"733 81st St,Miami Beach, FL 33141",6,4,3170
Canceled,04/14/2025,Foreclosure Auction,"11231 Sw 234th Ter,Homestead, FL 33032",3,5,1706
Canceled,04/14/2025,Foreclosure Auction,"3821 Carole Ct,Miami, FL 33133",4,3,4649
Canceled,04/14/2025,Foreclosure Auction,"9058 Nw 115th St,Hialeah, FL 33018",3,2,1324
Canceled,04/14/2025,Foreclosure Auction,"16575 Sw 101st Ter,Miami, FL 33196",4,5,2250
"Sold for $ 441,600",04/14/2025,N/A,"21052 Sw 97th Pl,Cutler Bay, FL 33189",4,2,1453
"Sold for $ 180,100",04/14/2025,N/A,"13502 Ne 24th Ct,North Miami, FL 33181",3,2,1640
Canceled,04/14/2025,Foreclosure Auction,"570 Nw 185th St,Miami, FL 33169",3,1,1568
Canceled,04/14/2025,Foreclosure Auction,"228 W 14th St,Hialeah, FL 33010",2,1,984
Canceled,04/14/2025,Foreclosure Auction,"196 E 15th St,Hialeah, FL 33010",3,2,1818
Canceled,04/14/2025,Foreclosure Auction,"10864 Sw 141st Ln,Miami, FL 33176",5,3,4189
Canceled,04/14/2025,Foreclosure Auction,"15900 W Bunche Park Dr,Opa-locka, FL 33054",5,5,3010
Canceled,04/14/2025,Foreclosure Auction,"9535 Sw 46th Ter,Miami, FL 33165",3,1,1300
"Sold for $ 340,600",04/14/2025,N/A,"11240 Sw 33rd Circle Pl,Miami, FL 33165",2,1,990
Canceled,04/14/2025,Foreclosure Auction,"9402 Nw 2nd Pl,Miami Shores, FL 33150",3,5,1476
Canceled,04/14/2025,Foreclosure Auction,"9220 Sw 45th Ter,Miami, FL 33165",5,2,2079
"Sold for $ 200,100",04/14/2025,N/A,"1030 15th St Unit 306,Miami Beach, FL 33139",1,5,738
Canceled,04/14/2025,Foreclosure Auction,"9270 W Bay Harbor Dr Apt 5b,Bay Harbor Islands, FL 33154",1,1,992
Canceled,04/14/2025,Foreclosure Auction,"350 Ne 107th St,Miami, FL 33161",2,2,1709
Canceled,04/14/2025,Foreclosure Auction,"16911 Nw 34th Ave,Miami Gardens, FL 33056",3,1,1072
Canceled,04/14/2025,Foreclosure Auction,"15615 Sw 95th Ln,Miami, FL 33196",4,5,2353
"Sold for $ 140,100",04/14/2025,N/A,"1800 Sans Souci Blvd Apt 119,North Miami, FL 33181",1,5,714
Canceled,04/14/2025,Foreclosure Auction,"3175 W 72nd Ter,Hialeah, FL 33018",3,5,1416
Canceled,04/14/2025,Foreclosure Auction,"15810 Nw 22nd Ave,Opa-locka, FL 33054",3,1,1152
Canceled,04/14/2025,Foreclosure Auction,"11008 Nw 73rd St,Doral, FL 33178",5,3,3052
Canceled,04/14/2025,Foreclosure Auction,"17310 Ne 3rd Ave,North Miami Beach, FL 33162",2,2,1256
Canceled,04/14/2025,Foreclosure Auction,"22300 Sw 99th Ave,Cutler Bay, FL 33190",3,2,1412
"Sold for $ 230,000",04/14/2025,N/A,"2052 Nw 27th St,Miami, FL 33142",4,2,3059
Canceled,04/14/2025,Foreclosure Auction,"851 Ne 1st Ave Unit 3802,Miami, FL 33132",N/A,N/A,937
Canceled,04/14/2025,Foreclosure Auction,"21523 Sw 89th Path,Cutler Bay, FL 33189",3,2,1381
Canceled,04/09/2025,Foreclosure Auction,"301 Nw 177th St Apt 215,Miami, FL 33169",1,1,730
Canceled,04/09/2025,Foreclosure Auction,"1757 Nw 52nd St,Miami, FL 33142",2,1,728
Canceled,04/09/2025,Foreclosure Auction,"1510 Nw 17th St,Homestead, FL 33030",4,2,1846
